Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
18.8,92250452,1552,59439.7,47583.0,10208,98750,29043.1,"void mul_mat_vec_q<(ggml_type)21, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
17.4,85219687,1328,64171.5,66558.5,8927,92030,24017.3,"void mul_mat_vec_q<(ggml_type)18, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
17.0,83351388,1136,73372.7,85247.0,9888,97054,24019.0,"void mul_mat_vec_q<(ggml_type)22, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
7.4,36028842,448,80421.5,79790.0,35168,108285,26881.0,"void mul_mat_vec_q<(ggml_type)10, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
7.3,35882891,480,74756.0,90910.5,9120,93086,24667.1,"void mul_mat_vec_q<(ggml_type)16, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
7.1,34705269,512,67783.7,79870.5,29696,93438,23024.8,"void mul_mat_vec_q<(ggml_type)17, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
6.9,33893450,528,64192.1,27871.0,7072,940781,155227.0,"void mul_mat_vec_q<(ggml_type)23, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
2.4,11939481,768,15546.2,15680.0,13632,16160,410.9,"void gated_delta_net_cuda<(int)128, (bool)0, (bool)0, (bool)1, (bool)0>(const float *, const float *, const float *, const float *, const float *, const float *, float *, float *, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, float, long, int, ggml_cuda_gdn_norm, const int *)"
2.4,11732374,304,38593.3,8224.0,7648,94142,36811.4,"void mul_mat_q<(ggml_type)12, (int)8, (bool)0, (mmq_stream_mode)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
2.2,10571940,6112,1729.7,1728.0,1408,2464,172.9,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
2.1,10442870,1536,6798.7,6720.0,5824,7648,301.5,"void mul_mat_vec_f<__nv_bfloat16, float, (int)4, (int)256, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
1.2,5969465,2816,2119.8,2176.0,1663,2624,190.1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
1.1,5324708,2064,2579.8,2592.0,2335,3520,81.1,"void rms_norm_mul_bcast_f32<(int)1024, float, (int)5>(const float *, const float *, T2 *, int, long, long, long, float)"
1.0,5139853,768,6692.5,6688.0,6368,7039,96.1,"void k_get_rows_float_vec<float>(const T1 *, const int *, T1 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.6,3014019,64,47094.0,34272.0,31167,93406,22972.0,"void mul_mat_vec_q<(ggml_type)29, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.6,2957937,768,3851.5,3840.0,3392,4608,109.7,"conv_state_concat(const float *, const float *, float *, float *, long, int, int, long, long, long, long, long, const float *, long, float *, long)"
0.6,2737668,256,10694.0,10511.5,9664,11968,524.3,"void flash_attn_ext_f16<(int)256, (int)256, (int)4, (int)8, (bool)0, (bool)0, (bool)0, (ggml_type)1, (ggml_type)1, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
0.6,2729386,64,42646.7,38399.5,8960,77855,33111.6,"void mul_mat_vec_q<(ggml_type)19, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.5,2589916,1024,2529.2,2528.0,2016,2976,116.5,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.4,1848508,784,2357.8,2336.0,1760,3040,132.0,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.4,1797808,768,2340.9,2336.0,2016,2784,109.1,"void rms_norm_silu_f32<(int)128, float>(const float *, const float *, const float *, T2 *, int, long, long, long, float)"
0.3,1527073,768,1988.4,1984.0,1791,2464,77.5,"void ssm_conv_f32<(bool)1, (unsigned long)128, (unsigned long)4>(const float *, const float *, const float *, int, int, int, int, float *, int, int, int, long, long)"
0.3,1443100,768,1879.0,1888.0,1664,2048,55.7,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.2,1171303,304,3853.0,4464.0,2464,4992,1050.8,"void mul_mat_q_stream_k_fixup<(ggml_type)12, (int)8, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.2,965041,768,1256.6,1248.0,1152,1632,28.9,"void unary_op_kernel<&op_sigmoid, float>(const T2 *, T2 *, int)"
0.2,961641,768,1252.1,1248.0,1120,1632,32.3,"void unary_op_kernel<&op_softplus, float>(const T2 *, T2 *, int)"
0.2,908454,256,3548.6,3520.0,3200,4288,159.4,"void rms_norm_mul_rope_f32<(int)256, (bool)0, float>(const float *, T3 *, int, long, long, long, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int, bool, mrope_sections, int, bool, bool)"
0.1,699731,256,2733.3,2720.0,2496,2912,62.7,"void rms_norm_mul_rope_f32<(int)256, (bool)0, __half>(const float *, T3 *, int, long, long, long, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int, bool, mrope_sections, int, bool, bool)"
0.1,647888,256,2530.8,2560.0,2304,2656,56.5,"void flash_attn_stream_k_fixup_uniform<(int)256, (int)4, (int)8>(float *, const float2 *, int, int, int, int, int, int, uint3, uint3, uint3)"
0.1,519030,304,1707.3,1632.0,1440,2112,122.8,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1, (bool)0>(const float *, const int *, void *, long, long, long, long, long, int, int, int)"
0.1,446457,256,1744.0,1728.0,1600,1888,45.8,"void unary_gated_op_kernel<&op_sigmoid, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.1,431570,256,1685.8,1696.0,1536,1920,44.1,"void k_set_rows<float, long, __half>(const T1 *, const T2 *, T3 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, uint3, uint3, uint3)"
