Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
17.7,93351492,1552,60149.2,48367.0,10400,99934,29460.7,"void mul_mat_vec_q<(ggml_type)21, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0, (int)1>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
16.3,86220865,1328,64925.4,67231.0,9376,93310,24335.5,"void mul_mat_vec_q<(ggml_type)18, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0, (int)1>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
16.0,84333745,1136,74237.5,86366.5,9920,98271,24320.3,"void mul_mat_vec_q<(ggml_type)22, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0, (int)1>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
13.4,70581104,448,157547.1,151773.0,67263,213820,54085.3,"void mul_mat_vec_q<(ggml_type)10, (int)1, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0, (int)4>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
6.9,36338930,480,75706.1,92542.5,9152,94079,25021.1,"void mul_mat_vec_q<(ggml_type)16, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0, (int)1>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
6.7,35155283,512,68662.7,80638.0,30399,94270,23357.0,"void mul_mat_vec_q<(ggml_type)17, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0, (int)1>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
6.5,34263502,528,64893.0,28032.0,7168,953581,157193.2,"void mul_mat_vec_q<(ggml_type)23, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0, (int)1>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
2.3,12073008,768,15720.1,15871.0,13663,16543,453.1,"void gated_delta_net_cuda<(int)128, (bool)0, (bool)0, (bool)1, (bool)0>(const float *, const float *, const float *, const float *, const float *, const float *, float *, float *, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, float, long, int, ggml_cuda_gdn_norm, const int *)"
2.1,11218499,6416,1748.5,1760.0,1407,2496,173.8,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
2.1,11023018,304,36259.9,9216.0,8128,89918,33637.1,"void mul_mat_vec_q<(ggml_type)12, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0, (int)1>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
2.0,10577166,1536,6886.2,6816.0,5887,7616,310.0,"void mul_mat_vec_f<__nv_bfloat16, float, (int)4, (int)256, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
1.1,6048374,2816,2147.9,2208.0,1696,2560,188.2,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
1.0,5401186,2064,2616.9,2624.0,2367,3616,85.3,"void rms_norm_mul_bcast_f32<(int)1024, float, (int)5>(const float *, const float *, T2 *, int, long, long, long, float)"
1.0,5156412,768,6714.1,6720.0,6368,7039,95.6,"void k_get_rows_float_vec<float>(const T1 *, const int *, T1 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.6,3051366,64,47677.6,34767.0,31167,95006,23261.7,"void mul_mat_vec_q<(ggml_type)29, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0, (int)1>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.5,2888146,768,3760.6,3776.0,3328,4607,104.4,"conv_state_concat(const float *, const float *, float *, float *, long, int, int, long, long, long, long, long, const float *, long, float *, long)"
0.5,2762826,64,43169.2,38271.0,9023,79295,33576.0,"void mul_mat_vec_q<(ggml_type)19, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0, (int)1>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.5,2715095,256,10605.8,10495.5,9632,11968,381.8,"void flash_attn_ext_f16<(int)256, (int)256, (int)4, (int)8, (bool)0, (bool)0, (bool)0, (ggml_type)1, (ggml_type)1, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
0.5,2616665,1024,2555.3,2528.0,2304,3072,97.5,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.4,1870549,784,2385.9,2368.0,1792,3296,133.1,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.3,1828380,768,2380.7,2368.0,2080,2752,102.9,"void rms_norm_silu_f32<(int)128, float>(const float *, const float *, const float *, T2 *, int, long, long, long, float)"
0.3,1542026,768,2007.8,1984.0,1792,2463,76.4,"void ssm_conv_f32<(bool)1, (unsigned long)128, (unsigned long)4>(const float *, const float *, const float *, int, int, int, int, float *, int, int, int, long, long)"
0.3,1462558,768,1904.4,1888.0,1696,2240,60.5,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.2,980489,768,1276.7,1280.0,1152,1376,29.3,"void unary_op_kernel<&op_sigmoid, float>(const T2 *, T2 *, int)"
0.2,978379,768,1273.9,1280.0,1151,1376,30.7,"void unary_op_kernel<&op_softplus, float>(const T2 *, T2 *, int)"
0.2,916836,256,3581.4,3552.0,3231,4224,154.1,"void rms_norm_mul_rope_f32<(int)256, (bool)0, float>(const float *, T3 *, int, long, long, long, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int, bool, mrope_sections, int, bool, bool)"
0.1,705458,256,2755.7,2752.0,2528,2976,58.2,"void rms_norm_mul_rope_f32<(int)256, (bool)0, __half>(const float *, T3 *, int, long, long, long, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int, bool, mrope_sections, int, bool, bool)"
0.1,658415,256,2571.9,2592.0,2336,2656,58.7,"void flash_attn_stream_k_fixup_uniform<(int)256, (int)4, (int)8>(float *, const float2 *, int, int, int, int, int, int, uint3, uint3, uint3)"
0.1,451798,256,1764.8,1760.0,1600,1888,49.8,"void unary_gated_op_kernel<&op_sigmoid, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.1,436786,256,1706.2,1696.0,1568,1824,35.5,"void k_set_rows<float, long, __half>(const T1 *, const T2 *, T3 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, uint3, uint3, uint3)"
